report_date,First Horizon,Rest of Memphis
2013-12-31,16825762000.0,5365304000.0
2014-03-31,16766338000.0,5311155000.0
2014-06-30,16225213000.0,5467386000.0
2014-09-30,16259564000.0,5535187000.0
2014-12-31,18246167000.0,5612245000.0
2015-03-31,18796774000.0,5651285000.0
2015-06-30,18792777000.0,5667139000.0
2015-09-30,19097192000.0,5282527000.0
2015-12-31,20123820000.0,5370318000.0
2016-03-31,20453547000.0,5495752000.0
2016-06-30,20848250000.0,5613202000.0
2016-09-30,21812124000.0,5697770000.0
2016-12-31,22911760000.0,5781948000.0
2017-03-31,23733779000.0,5914952000.0
2017-06-30,22621047000.0,6053042000.0
2017-09-30,22454816000.0,6062672000.0
2017-12-31,30888030000.0,6330790000.0
2018-03-31,31048801000.0,6231781000.0
2018-06-30,31223872000.0,6419927000.0
2018-09-30,31321355000.0,6499025000.0
2018-12-31,33026812000.0,6566128000.0
2019-03-31,32840741000.0,6737617000.0
2019-06-30,32691442000.0,6807355000.0
2019-09-30,32305295000.0,6962909000.0
2019-12-31,32810374000.0,6879245000.0
2020-03-31,34812821000.0,6987178000.0
2020-06-30,39025284000.0,7559299000.0
2020-09-30,69855940000.0,7714627000.0
2020-12-31,70844676000.0,7832812000.0
2021-03-31,74045809000.0,8038617000.0
2021-06-30,74325850000.0,8079192000.0
2021-09-30,75051597000.0,8143009000.0
2021-12-31,75654122000.0,6656769000.0
2022-03-31,75460607000.0,6784331000.0
2022-06-30,71877384000.0,7221144000.0
2022-09-30,67355589000.0,7237468000.0
2022-12-31,64839262000.0,7516435000.0
2023-03-31,62813312000.0,7591079000.0
2023-06-30,66592014000.0,7328985000.0
2023-09-30,67983353000.0,7399170000.0
2023-12-31,66650287000.0,7335155000.0
