report_date,Total deposits,Total assets,Total loans and leases,Commercial real estate loans,Commercial industrial loans
2013-12-31,22191066000.0,30047165000.0,20327702000.0,3327937000.0,4318594000.0
2014-03-31,22077493000.0,30135462000.0,20095190000.0,3297845000.0,4404972000.0
2014-06-30,21692599000.0,30651860000.0,21009338000.0,3325166000.0,4706014000.0
2014-09-30,21794751000.0,30449317000.0,20917215000.0,3309281000.0,4755608000.0
2014-12-31,23858412000.0,32235836000.0,21384004000.0,3375580000.0,4931512000.0
2015-03-31,24448059000.0,32395364000.0,21943318000.0,3359234000.0,5098838000.0
2015-06-30,24459916000.0,31949878000.0,22201372000.0,3351779000.0,5055162000.0
2015-09-30,24379719000.0,31565183000.0,21611832000.0,3334526000.0,5099637000.0
2015-12-31,25494138000.0,32487267000.0,22673237000.0,3533099000.0,5551452000.0
2016-03-31,25949299000.0,33405056000.0,22685210000.0,3692244000.0,5573280000.0
2016-06-30,26461452000.0,34161835000.0,23869278000.0,3774382000.0,5762034000.0
2016-09-30,27509894000.0,35177172000.0,24969700000.0,4249237000.0,6226451000.0
2016-12-31,28693708000.0,35396857000.0,25012255000.0,4342104000.0,6186202000.0
2017-03-31,29648731000.0,36605996000.0,24550008000.0,4305910000.0,6206778000.0
2017-06-30,28674089000.0,36515920000.0,25930980000.0,4388165000.0,6674395000.0
2017-09-30,28517488000.0,36832820000.0,26097122000.0,4519624000.0,6768717000.0
2017-12-31,37218820000.0,48763290000.0,34045577000.0,7217893000.0,8441781000.0
2018-03-31,37280582000.0,47793294000.0,33716714000.0,7287349000.0,8734885000.0
2018-06-30,37643799000.0,48633833000.0,34295549000.0,7435399000.0,8682913000.0
2018-09-30,37820380000.0,48280496000.0,34130882000.0,7440314000.0,8732444000.0
2018-12-31,39592940000.0,48556806000.0,34336533000.0,7611151000.0,8988519000.0
2019-03-31,39578358000.0,48937199000.0,34764383000.0,7746155000.0,9263547000.0
2019-06-30,39498797000.0,50099049000.0,36460236000.0,7960123000.0,8651888000.0
2019-09-30,39268204000.0,51824011000.0,38223909000.0,8121711000.0,9028836000.0
2019-12-31,39689619000.0,51305277000.0,37892259000.0,8451772000.0,9126621000.0
2020-03-31,41799999000.0,55375137000.0,40293603000.0,8681144000.0,9800020000.0
2020-06-30,46584583000.0,57551978000.0,40308574000.0,8786195000.0,11448913000.0
2020-09-30,77570567000.0,91973906000.0,67910327000.0,15963824000.0,18012534000.0
2020-12-31,78677488000.0,93149192000.0,66227574000.0,15873602000.0,17530356000.0
2021-03-31,82084426000.0,96517601000.0,66375581000.0,15965849000.0,18142220000.0
2021-06-30,82405042000.0,97037821000.0,64604750000.0,16084666000.0,17337899000.0
2021-09-30,83194606000.0,97735266000.0,63490643000.0,16334825000.0,15886031000.0
2021-12-31,82310891000.0,96440384000.0,61316885000.0,16312807000.0,15587452000.0
2022-03-31,82244938000.0,96114526000.0,61391983000.0,16608656000.0,15579833000.0
2022-06-30,79098528000.0,93133568000.0,63155494000.0,17033570000.0,16173163000.0
2022-09-30,74593057000.0,88392009000.0,64076798000.0,17174240000.0,16457835000.0
2022-12-31,72355697000.0,87466994000.0,64941976000.0,17552887000.0,16820831000.0
2023-03-31,70404391000.0,89391059000.0,66108397000.0,17789382000.0,17402646000.0
2023-06-30,73920999000.0,93652466000.0,68689871000.0,18034676000.0,17728565000.0
2023-09-30,75382523000.0,91085449000.0,69158055000.0,18236475000.0,17804302000.0
2023-12-31,73985442000.0,90335436000.0,68712565000.0,18196156000.0,17520672000.0
